titre;competences_requises;niveau_etude_requis;description;annees_experience_requises
Ingénieur Data;Python, SQL;bac+3;Nous recherchons un développeur mobile pour rejoindre notre équipe de développement.;4
Responsable Marketing;SQL, JavaScript;bac+3;Nous recherchons un développeur mobile pour rejoindre notre équipe de développement.;4
Développeur mobile;HTML/CSS, Marketing digital;bac+3;Nous recherchons un développeur mobile pour rejoindre notre équipe de développement.;3
Responsable Marketing;JavaScript, SQL;bac+5;Nous recherchons un ingénieur Data pour travailler sur nos projets Big Data.;1
Développeur mobile;HTML/CSS, Gestion de projet;bac+5;Nous recherchons un développeur web pour rejoindre notre équipe dynamique.;2
Responsable Marketing;Python, Marketing digital;bac+3;Nous recherchons un chef de projet digital pour gérer nos projets web et mobiles.;4
Développeur mobile;SQL, Marketing digital;bac+2;Nous recherchons un chef de projet digital pour gérer nos projets web et mobiles.;3
Responsable Marketing;Gestion de projet, SQL;bac+3;Nous recherchons un développeur mobile pour rejoindre notre équipe de développement.;1
Ingénieur Data;SQL, Gestion de projet;bac+2;Nous recherchons un chef de projet digital pour gérer nos projets web et mobiles.;2
Développeur mobile;Python, SQL;bac+2;Nous recherchons un responsable Marketing pour développer notre stratégie de communication.;2
Chef de projet digital;Gestion de projet, Marketing digital;bac+5;Nous recherchons un développeur web pour rejoindre notre équipe dynamique.;1
Ingénieur Data;JavaScript, Gestion de projet;bac+2;Nous recherchons un responsable Marketing pour développer notre stratégie de communication.;4
Développeur web;SQL, JavaScript;bac+5;Nous recherchons un développeur web pour rejoindre notre équipe dynamique.;5
Ingénieur Data;JavaScript, Gestion de projet;bac+2;Nous recherchons un chef de projet digital pour gérer nos projets web et mobiles.;2
Développeur web;SQL, Gestion de projet;bac+2;Nous recherchons un ingénieur Data pour travailler sur nos projets Big Data.;4
Développeur mobile;Marketing digital, Python;bac+5;Nous recherchons un ingénieur Data pour travailler sur nos projets Big Data.;4
Chef de projet digital;SQL, Gestion de projet;bac+3;Nous recherchons un chef de projet digital pour gérer nos projets web et mobiles.;5
Responsable Marketing;Python, Gestion de projet;bac+2;Nous recherchons un développeur web pour rejoindre notre équipe dynamique.;4
Développeur mobile;Python, Marketing digital;bac+3;Nous recherchons un développeur web pour rejoindre notre équipe dynamique.;1
Développeur mobile;HTML/CSS, JavaScript;bac+5;Nous recherchons un ingénieur Data pour travailler sur nos projets Big Data.;4
